roomID,roomName,capacity,buildingID,buildingID_exists
0,CAPB3 1,175,645,0
1,MHA4 1,50,551,0
2,HC3 1,25,867,0
3,CMC1 1,200,621,0
4,CMS3 1,200,675,0
5,CAPS2 1,125,324,0
6,DWB2 1,125,199,0
7,MAB4 1,100,932,0
8,MHSB4 1,100,336,0
9,MWB3 1,150,818,0
10,DPB1 1,200,236,0
11,JAWB1 1,50,322,0
12,SA1 1,100,709,0
13,JAG1 1,175,455,0
14,AR2 1,50,370,0
15,DPL3 1,50,360,0
16,AEB3 1,150,936,0
17,EA4 1,200,669,0
18,DPSB6 1,100,619,0
19,IGNLH2 1,175,459,0
20,DWSB1 1,75,235,0
21,AS3 1,100,947,0
22,CLS4 1,175,795,0
23,DPLH2 1,75,690,0
24,PS2 1,125,620,0
25,JAC5 1,125,814,0
26,PC2 1,150,349,0
27,CH1 1,50,120,0
28,CLL2 1,175,418,0
29,CMLH2 1,75,517,0
30,CMV2 1,200,589,0
31,MWB2 1,100,647,0
32,DPR3 1,75,921,0
33,CMS4 1,200,897,0
34,IGNB1 1,75,15,0
35,CLNB2 1,175,123,0
36,AWB2 1,200,269,0
37,AV4 1,50,760,0
38,AR1 1,25,129,0
39,CAPR4 1,175,853,0
40,ELH2 1,75,24,0
41,VWV1 1,75,74,0
42,CAPNB5 1,175,527,0
43,DPB5 1,175,925,0
44,VWEB3 1,75,362,0
45,CLV4 1,100,411,0
46,MA5 1,125,729,0
47,EV1 1,150,121,0
48,FC7 1,150,918,0
49,VWEB4 1,50,605,0
50,MAL5 1,25,739,0
51,MA2 1,150,75,0
52,MB5 1,200,972,0
53,MAB4 2,175,932,0
54,CAPB3 2,200,645,0
55,SNB6 1,175,758,0
56,PB1 1,200,296,0
57,IGNEB5 1,75,716,0
58,DPC3 1,75,751,0
59,PNB3 1,50,741,0
60,AV1 1,25,155,0
61,ER5 1,150,607,0
62,DPLH2 2,200,690,0
63,VWSB2 1,150,388,0
64,IGNH2 1,75,449,0
65,VWWB3 1,125,520,0
66,DWLH1 1,50,967,0
67,MANB1 1,125,237,0
68,MHWB3 1,150,505,0
69,IGNR1 1,175,49,0
70,IGNNB2 1,150,292,0
71,MAS2 1,150,393,0
72,FWB7 1,75,775,0
73,CWB4 1,75,976,0
74,PWB1 1,100,42,0
75,FNB1 1,125,440,0
76,DPC4 1,150,588,0
77,VWL1 1,150,101,0
78,CLH1 1,75,291,0
79,EV1 2,125,121,0
80,PC1 1,200,280,0
81,IGNH2 2,100,449,0
82,FEB6 1,75,906,0
83,CMR1 1,125,295,0
84,PS2 2,50,620,0
85,DPB6 1,100,946,0
86,CLL4 1,125,682,0
87,MHEB3 1,50,144,0
88,SWB1 1,75,211,0
89,SNB1 1,25,28,0
90,MAL7 1,100,982,0
91,PR1 1,200,6,0
92,CLC2 1,25,852,0
93,AC1 1,100,378,0
94,CMEB3 1,175,288,0
95,CAPR3 1,200,749,0
96,DPH8 1,75,533,0
97,CNB7 1,200,850,0
98,ES2 1,50,302,0
99,VWV3 1,50,733,0
100,JAG1 2,175,455,0
101,MHWB3 2,125,505,0
102,MHA2 1,75,88,0
103,MAC4 1,50,285,0
104,AB4 1,150,991,0
105,CR1 1,50,822,0
106,DWV4 1,100,762,0
107,CLLH4 1,50,744,0
108,ESB2 1,75,334,0
109,CAPNB4 1,150,519,0
110,FC4 1,200,282,0
111,CAPB3 3,50,645,0
112,JAC4 1,150,723,0
113,AL3 1,25,913,0
114,VWLH3 1,50,443,0
115,EB4 1,150,954,0
116,EH2 1,25,194,0
117,MASB7 1,25,971,0
118,HLH3 1,75,251,0
119,CAPC1 1,175,600,0
120,CLB4 1,100,893,0
121,SR2 1,100,689,0
122,DWH2 1,200,271,0
123,AV1 2,200,155,0
124,VWNB2 1,75,833,0
125,DPC3 2,200,751,0
126,DPNB3 1,75,289,0
127,PNB2 1,50,203,0
128,AC5 1,100,973,0
129,FB1 1,175,3,0
130,MG1 1,200,68,0
131,IGNH3 1,100,571,0
132,AG2 1,75,727,0
133,SG2 1,175,39,0
134,CLC4 1,125,704,0
135,FWB4 1,175,628,0
136,JAWB2 1,100,646,0
137,EG5 1,150,653,0
138,ALH4 1,75,495,0
139,CAPNB8 1,125,898,0
140,MC5 1,100,860,0
141,CMG3 1,125,896,0
142,ES3 1,200,684,0
143,MAG4 1,175,501,0
144,CLA2 1,150,612,0
145,SV2 1,200,556,0
146,ES2 2,50,302,0
147,IGNNB1 1,50,224,0
148,FH3 1,125,986,0
149,EG3 1,200,429,0
150,CNB3 1,100,333,0
151,IGNC4 1,175,678,0
