buildingID,buildingName,addressLine1,addressLine2,city,province,country,postalCode
1,220 Yonge Street (TEC),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
2,Architecture Annex Rome (AAR),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
3,Arts Lecture Hall (AL),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
4,Autonomous Vehicle Research and Intelligence Lab (AVRIL) (AVR),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
5,B.C. Matthews Hall (BMH),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
6,BEG Test Building (BEG),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
7,Bauer Warehouse (BAU),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
8,Biology 1 (B1),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
9,Biology 2 (B2),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
10,Bright Starts Co-operative Early Learning Centre (BSC),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
11,Brubacher House (BRH),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
12,Carl A. Pollock Hall (CPH),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
13,Catalyst 137 (CAT),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
14,Central Services Building (CSB),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
15,Centre for Environmental and Information Technology (EIT),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
16,Centre for International Governance Innovation (BSIA) (CIGI),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
17,Chemistry 2 (C2),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
18,Claudette Millar Hall (CMH),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
19,Columbia Greenhouses (COG),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
20,Columbia Icefield (CIF),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
21,Columbia Lake Village (CLV),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
22,Columbia Lake Village North (CLN),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
23,Columbia Lake Village North Block 1 (L01),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
24,Columbia Lake Village North Block 10 (L10),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
25,Columbia Lake Village North Block 11 (L11),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
26,Columbia Lake Village North Block 12 (L12),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
27,Columbia Lake Village North Block 13 (L13),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
28,Columbia Lake Village North Block 14 (L14),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
29,Columbia Lake Village North Block 15 (L15),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
30,Columbia Lake Village North Block 16 (L16),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
31,Columbia Lake Village North Block 17 (L17),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
32,Columbia Lake Village North Block 18 (L18),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
33,Columbia Lake Village North Block 19 (L19),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
34,Columbia Lake Village North Block 2 (L02),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
35,Columbia Lake Village North Block 20 (L20),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
36,Columbia Lake Village North Block 21 (L21),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
37,Columbia Lake Village North Block 22 (L22),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
38,Columbia Lake Village North Block 23 (L23),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
39,Columbia Lake Village North Block 24 (L24),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
40,Columbia Lake Village North Block 25 (L25),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
41,Columbia Lake Village North Block 26 (L26),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
42,Columbia Lake Village North Block 27 (L27),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
43,Columbia Lake Village North Block 28 (L28),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
44,Columbia Lake Village North Block 29 (L29),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
45,Columbia Lake Village North Block 3 (L03),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
46,Columbia Lake Village North Block 30 (L30),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
47,Columbia Lake Village North Block 31 (L31),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
48,Columbia Lake Village North Block 32 (L32),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
49,Columbia Lake Village North Block 33 (L33),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
50,Columbia Lake Village North Block 34 (L34),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
51,Columbia Lake Village North Block 35 (L35),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
52,Columbia Lake Village North Block 4 (L04),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
53,Columbia Lake Village North Block 5 (L05),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
54,Columbia Lake Village North Block 6 (L06),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
55,Columbia Lake Village North Block 7 (L07),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
56,Columbia Lake Village North Block 8 (L08),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
57,Columbia Lake Village North Block 9 (L09),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
58,Columbia Lake Village South Block A (CTA),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
59,Columbia Lake Village South Block B (CTB),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
60,Columbia Lake Village South Block C (CTC),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
61,Columbia Lake Village South Block D (CTD),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
62,Columbia Lake Village South Block E (CTE),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
63,Columbia Lake Village South Block F (CTF),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
64,Columbia Lake Village South Block G (CTG),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
65,Columbia Lake Village South Block H (CTH),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
66,Columbia Lake Village South Block J (CTJ),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
67,Columbia Lake Village South Block K (CTK),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
68,Columbia Lake Village South Block L (CTL),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
69,Columbia Lake Village South Block M (CTM),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
70,Columbia Lake Village South Block N (CTN),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
71,Columbia Lake Village South Block P (CTP),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
72,Columbia Lake Village South Laundry (CTQ),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
73,Commissary (COM),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
74,Conrad Grebel University College (CGR),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
75,Dana Porter Arts Library (LIB),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
76,Digital Media Stratford (DMS),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
77,Douglas Wright Engineering Building (DWE),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
78,Earth Sciences & Chemistry (ESC),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
79,East Campus 1 (EC1),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
80,East Campus 2 (EC2),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
81,East Campus 3 (EC3),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
82,East Campus 4 (EC4),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
83,East Campus 5 (EC5),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
84,East Campus Hall (ECH),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
85,Energy Research Centre (ERC),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
86,Engineering 2 (E2),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
87,Engineering 3 (E3),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
88,Engineering 5 (E5),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
89,Engineering 6 (E6),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
90,Engineering 7 (E7),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
91,Environment 1 (EV1),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
92,Environment 2 (EV2),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
93,Environment 3 (EV3),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
94,Expansion (EXP),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
95,Federation Hall (FED),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
96,Fire Research Facility (FRF),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
97,General Services Complex (GSC),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
98,Graduate House (GH),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
99,Health Services (HS),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
100,Innovation Arena (IA),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
101,Integrated Health Building (IHB),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
102,Ira G. Needles Hall (NH),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
103,J.G. Hagey Hall of the Humanities (HH),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
104,J.R. Coutts Engineering Lecture Hall (RCH),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
105,Lyle S. Hallman Institute for Health Promotion (LHI),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
106,Master of Taxation Toronto (MTT),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
107,Math 4 (Under Construction) (M4),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
108,Mathematics & Computer Building (MC),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
109,Mathematics 3 (M3),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
110,Mike & Ophelia Lazaridis Quantum-Nano Centre (QNC),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
111,Minota Hagey Residence (MHR),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
112,Modern Languages (ML),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
113,New Residence Building (Under Construction) (RES-NRB),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
114,Optometry (OPT),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
115,Pavement & Transportation Building (PTB),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
116,Pavement & Transportion Garage (PTG),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
117,Pharmacy (PHR),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
118,Physical Activities Complex (PAC),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
119,evolv1 (EVO),200 University Avenue West,,Waterloo,Ontario,Canada,N2L 3G1
